regime,model,controls_included,feature,is_control,importance_mean,importance_std,cross_validated_r2,out_of_fold_spearman,trustworthy,molecules
out_of_scaffold,GIN,False,MolLogP,False,0.098070,0.051050,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,TPSA,False,0.119013,0.055126,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,NumRotatableBonds,False,0.015218,0.025780,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,AromaticAtomFraction,False,0.141811,0.050323,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,HeavyAtomCount,False,0.030927,0.014356,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,NumRings,False,-0.000749,0.005894,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,NumAromaticRings,False,-0.004177,0.004971,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,NumAliphaticRings,False,0.083100,0.150468,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,NumHeteroatoms,False,0.002367,0.008096,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,FractionCSP3,False,0.069537,0.020621,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,NumHDonors,False,0.001276,0.008524,0.082445,0.236536,True,413
out_of_scaffold,GIN,False,NumHAcceptors,False,0.009546,0.019143,0.082445,0.236536,True,413
